title,description,recipeLink,keywords,ratingCount,ratingValue,recipeCategory,recipeCuisine,keywords_merged,recipeCategory_merged,recipeCuisine_merged,soup,imageLink
Albanian baked lamb with rice (Tav� kosi),"Tav� kosi is a national dish in Albania, but I only had it once, at a restaurant at the top of a mountain pass at Llogara. I wasn�t predisposed to like it. Lamb with rice and yoghurt doesn�t immediately appeal, but it turned out to be very good indeed, the same sort of dish as moussaka. ",https://www.bbc.co.uk/food/recipes/albanian_baked_lamb_with_92485,"hygge food, lovely lamb, lamb shoulder, pregnancy friendly, Rick Stein: From Venice to Istanbul",18.0,4.6,Main course,East European,hyggefood lovelylamb lambshoulder pregnancyfriendly rickstein:fromvenicetoistanbul,maincourse,easteuropean,maincourse easteuropean hyggefood lovelylamb lambshoulder pregnancyfriendly rickstein:fromvenicetoistanbul,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/albanian_baked_lamb_with_92485_16x9.jpg
Mary Berry's yule log,Mary Berry shows you how to make a foolproof chocolate yule log a.k.a B�che de No�l. It's utterly delicious and a perfect alternative to Christmas pudding! ,https://www.bbc.co.uk/food/recipes/yule_log_15656,"quick, alternative christmas cakes, christmas baking, christmas chocolate, christmas for over 6, classic christmas, mary berry's christmas, easy christmas for over 6, christmas desserts, luxury christmas desserts, boxing day, christmas, swiss rolls and roulades, dark chocolate, nut free, vegetarian, winter, The Great British Bake Off",29.0,4.1,Cakes and baking,,quick alternativechristmascakes christmasbaking christmaschocolate christmasforover6 classicchristmas maryberry'schristmas easychristmasforover6 christmasdesserts luxurychristmasdesserts boxingday christmas swissrollsandroulades darkchocolate nutfree vegetarian winter thegreatbritishbakeoff,cakesandbaking,nan,cakesandbaking nan quick alternativechristmascakes christmasbaking christmaschocolate christmasforover6 classicchristmas maryberry'schristmas easychristmasforover6 christmasdesserts luxurychristmasdesserts boxingday christmas swissrollsandroulades darkchocolate nutfree vegetarian winter thegreatbritishbakeoff,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/yule_log_15656_16x9.jpg
Naan bread,"Simple naan breads, flavoured with garlic and fresh coriander, are quick and easy to make. 

Each serving provides 270 kcal, 6g protein, 42g carbohydrates (of which 3.5g sugars), 8.5g fat (of which 2.5g saturates), 2g fibre and 0.7g salt.
",https://www.bbc.co.uk/food/recipes/naan_86626,"quick, best bread, easy bread, how to make bread, indian breads, baisakhi, eid al-fitr, naan bread, egg free, nut free, pregnancy friendly, vegetarian, Indian Food Made Easy",86.0,3.4,Cakes and baking,Indian,quick bestbread easybread howtomakebread indianbreads baisakhi eidal-fitr naanbread eggfree nutfree pregnancyfriendly vegetarian indianfoodmadeeasy,cakesandbaking,indian,cakesandbaking indian quick bestbread easybread howtomakebread indianbreads baisakhi eidal-fitr naanbread eggfree nutfree pregnancyfriendly vegetarian indianfoodmadeeasy,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/naan_86626_16x9.jpg
Easy carrot cake,"This is a fool-proof, easy and superbly delicious carrot cake recipe. Topped with cream cheese frosting, its a winner.",https://www.bbc.co.uk/food/recipes/how_to_make_carrot_cake_28928,"baking with vegetables, easy picnic bakes, how to make cakes, easy cakes for mother�s day, afternoon tea, birthday party, easter, mother's day, carrot cake, carrot, pregnancy friendly, vegetarian",20.0,4.8,Cakes and baking,American,bakingwithvegetables easypicnicbakes howtomakecakes easycakesformother�sday afternoontea birthdayparty easter mother'sday carrotcake carrot pregnancyfriendly vegetarian,cakesandbaking,american,cakesandbaking american bakingwithvegetables easypicnicbakes howtomakecakes easycakesformother�sday afternoontea birthdayparty easter mother'sday carrotcake carrot pregnancyfriendly vegetarian,
Easy halloumi burgers,An easy smoky halloumi burger that will make you rethink burgers for ever. Whip this up for a veggie barbecue or a quick Friday dinner.,https://www.bbc.co.uk/food/recipes/chargrilled_halloumi_09010,"quick, bank holiday bbq , easy barbecue, easy barbecue, eat the rainbow, easy halloumi, street food, vegetarian bbq ideas, veggie barbecue ideas, barbecue, father's day, summer dinner, veggie burger, halloumi, healthy, nut free, pregnancy friendly, vegetarian",22.0,4.9,Main course,,quick bankholidaybbq easybarbecue easybarbecue eattherainbow easyhalloumi streetfood vegetarianbbqideas veggiebarbecueideas barbecue father'sday summerdinner veggieburger halloumi healthy nutfree pregnancyfriendly vegetarian,maincourse,nan,maincourse nan quick bankholidaybbq easybarbecue easybarbecue eattherainbow easyhalloumi streetfood vegetarianbbqideas veggiebarbecueideas barbecue father'sday summerdinner veggieburger halloumi healthy nutfree pregnancyfriendly vegetarian,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/chargrilled_halloumi_09010_16x9.jpg
Dal makhani ,"This is one of my favourite curries � it�s deceptively substantial for a vegetarian dish, and delicious hot or cold. I often make it by throwing all of the ingredients into the slow cooker at the start of the day, so I come home to a delicious creamy dinner. 
",https://www.bbc.co.uk/food/recipes/dal_makhani_30779,"budget curry, cheap and cheerful family favourites, cooking with tins, perfect pulses, world in a store cupboard, dal, brown lentil, kidney beans, dairy free, egg free, healthy, pregnancy friendly, vegan, vegetarian, Daily Kitchen Live",37.0,4.5,Main course,Indian,budgetcurry cheapandcheerfulfamilyfavourites cookingwithtins perfectpulses worldinastorecupboard dal brownlentil kidneybeans dairyfree eggfree healthy pregnancyfriendly vegan vegetarian dailykitchenlive,maincourse,indian,maincourse indian budgetcurry cheapandcheerfulfamilyfavourites cookingwithtins perfectpulses worldinastorecupboard dal brownlentil kidneybeans dairyfree eggfree healthy pregnancyfriendly vegan vegetarian dailykitchenlive,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/dal_makhani_30779_16x9.jpg
Thai chicken curry,"This is an easy, foolproof Thai chicken curry recipe. The water chestnuts add a lovely crunch, but should be added at the end so they stay crisp.",https://www.bbc.co.uk/food/recipes/thai_chicken_curry_06763,"quick, batch cook, best curry, creamy curries , mary berry mains, quick chicken, quick chicken, rainy day food, simple thai, easy family dinners, spring recipes , student food, summer dinner, thai new year, Thai chicken curry, chicken breast, pregnancy friendly, Mary Berry's Foolproof Cooking",26.0,4.8,Main course,Thai and South-East Asian,quick batchcook bestcurry creamycurries maryberrymains quickchicken quickchicken rainydayfood simplethai easyfamilydinners springrecipes studentfood summerdinner thainewyear thaichickencurry chickenbreast pregnancyfriendly maryberry'sfoolproofcooking,maincourse,thaiandsouth-eastasian,maincourse thaiandsouth-eastasian quick batchcook bestcurry creamycurries maryberrymains quickchicken quickchicken rainydayfood simplethai easyfamilydinners springrecipes studentfood summerdinner thainewyear thaichickencurry chickenbreast pregnancyfriendly maryberry'sfoolproofcooking,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/thai_chicken_curry_06763_16x9.jpg
Slow cooker vegetarian hotpot ,"This slow-cooker vegetarian stew with fluffy dumplings is a cheap and easy recipe. To make it vegan, use vegetable suet in the dumplings instead of butter and omit the pesto. This dish is perfect for batch cooking, just divide it up into indiviudal portions and you will always have warming stew at your fingertips, check the tips section for freezing instructions. 

Equipment and preparation: For this recipe you will need a 6.5 litre/11� pint slow cooker. 

This meal provides 629 kcal, 13g protein, 79g carbohydrate (of which 24g sugars), 29g fat (of which 11g saturates), 16g fibre and 1.8g salt per portion.",https://www.bbc.co.uk/food/recipes/butternut_squash_and_46813,"easy roots, cheap vegan dinners, cheap slow cooker and batch meals for one, cheap stews , easy slow cooker, halloween feasts, healthy british classics, healthy dinner, healthy family meals, healthy slow cooker, healthy vegetarian, make and freeze, prep-ahead meals, veg-packed comfort food, slow cooker, student slow-cooker meals , vegan valentine's day, vegetarian slow cooker, veggie comfort food, veggie family favourites, winter stews, winter vegetarian meals, autumn, easy family dinners, veganuary, winter, hotpot, butternut squash, egg free, healthy, pregnancy friendly, vegan, vegetarian, winter, autumn",40.0,4.7,Main course,British,easyroots cheapvegandinners cheapslowcookerandbatchmealsforone cheapstews easyslowcooker halloweenfeasts healthybritishclassics healthydinner healthyfamilymeals healthyslowcooker healthyvegetarian makeandfreeze prep-aheadmeals veg-packedcomfortfood slowcooker studentslow-cookermeals veganvalentine'sday vegetarianslowcooker veggiecomfortfood veggiefamilyfavourites winterstews wintervegetarianmeals autumn easyfamilydinners veganuary winter hotpot butternutsquash eggfree healthy pregnancyfriendly vegan vegetarian winter autumn,maincourse,british,maincourse british easyroots cheapvegandinners cheapslowcookerandbatchmealsforone cheapstews easyslowcooker halloweenfeasts healthybritishclassics healthydinner healthyfamilymeals healthyslowcooker healthyvegetarian makeandfreeze prep-aheadmeals veg-packedcomfortfood slowcooker studentslow-cookermeals veganvalentine'sday vegetarianslowcooker veggiecomfortfood veggiefamilyfavourites winterstews wintervegetarianmeals autumn easyfamilydinners veganuary winter hotpot butternutsquash eggfree healthy pregnancyfriendly vegan vegetarian winter autumn,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/butternut_squash_and_46813_16x9.jpg
Deep-filled homity pie,"Rich wholemeal pastry packed with a potato, onion and cheese filling. We�ve added spinach and a hint of nutmeg for a Biker twist. ",https://www.bbc.co.uk/food/recipes/deep-filled_homity_pie_48616,"a very veggie easter, hairy bikers� weekend lunch, making the most of vegetables, proper pub grub, veggie crowd pleasers, veggie meals, wholemeal baking, winter, Vegetarian pie, floury potato, nut free, pregnancy friendly, vegetarian, spring, Hairy Bikers' Best of British",19.0,4.4,Main course,British,averyveggieeaster hairybikers�weekendlunch makingthemostofvegetables properpubgrub veggiecrowdpleasers veggiemeals wholemealbaking winter vegetarianpie flourypotato nutfree pregnancyfriendly vegetarian spring hairybikers'bestofbritish,maincourse,british,maincourse british averyveggieeaster hairybikers�weekendlunch makingthemostofvegetables properpubgrub veggiecrowdpleasers veggiemeals wholemealbaking winter vegetarianpie flourypotato nutfree pregnancyfriendly vegetarian spring hairybikers'bestofbritish,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/deep-filled_homity_pie_48616_16x9.jpg
Crunchy chicken cutlets,"I could have called these Cornflake-Crunchy Chicken Cutlets as the crisp coating is provided not by breadcrumbs, but by cornflakes. ",https://www.bbc.co.uk/food/recipes/crunchy_chicken_cutlets_21611,"cereal stars , fantastic fried chicken, on the table in 20 minutes or less, spring chicken, recipes for kids, summer dinner, chicken breast, dairy free, gluten free, nut free, pregnancy friendly, Simply Nigella",12.0,4.5,Main course,,cerealstars fantasticfriedchicken onthetablein20minutesorless springchicken recipesforkids summerdinner chickenbreast dairyfree glutenfree nutfree pregnancyfriendly simplynigella,maincourse,nan,maincourse nan cerealstars fantasticfriedchicken onthetablein20minutesorless springchicken recipesforkids summerdinner chickenbreast dairyfree glutenfree nutfree pregnancyfriendly simplynigella,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/crunchy_chicken_cutlets_21611_16x9.jpg
Gremolata fish with tartare sauce,"Keep a careful eye on the gremolata crumb as you grill the fish for this posh fish and chips to get the topping to just the right crispness.

Each serving provides 517 kcal, 41g protein, 53g carbohydrates (of which 5g sugars), 14g fat (of which 2g saturates), 7g fibre and 1.4g salt.",https://www.bbc.co.uk/food/recipes/posh_fish_and_chips_96392,"healthy british classics, recipes for the confident cook for the family, father's day, healthy summer, mother's day, summer dinner, fish and chips, plaice, nut free, pregnancy friendly, Tom Kerridge's Fresh Start",16.0,3.3,Main course,British,healthybritishclassics recipesfortheconfidentcookforthefamily father'sday healthysummer mother'sday summerdinner fishandchips plaice nutfree pregnancyfriendly tomkerridge'sfreshstart,maincourse,british,maincourse british healthybritishclassics recipesfortheconfidentcookforthefamily father'sday healthysummer mother'sday summerdinner fishandchips plaice nutfree pregnancyfriendly tomkerridge'sfreshstart,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/posh_fish_and_chips_96392_16x9.jpg
Quick flatbreads,"Flatbreads are cooked all over the world from Mexican tortillas to Indian chapatis. They are great served soft, filled with slaw or falafels, or baked until crisp and served with dips, soups or stews.",https://www.bbc.co.uk/food/recipes/quick_flatbreads_43123,"quick, easy recipes for kids, better breads , snow day, easy family dinners, student food, flatbread, wholemeal flour, dairy free, egg free, nut free, pregnancy friendly, vegan, vegetarian",77.0,4.7,Cakes and baking,,quick easyrecipesforkids betterbreads snowday easyfamilydinners studentfood flatbread wholemealflour dairyfree eggfree nutfree pregnancyfriendly vegan vegetarian,cakesandbaking,nan,cakesandbaking nan quick easyrecipesforkids betterbreads snowday easyfamilydinners studentfood flatbread wholemealflour dairyfree eggfree nutfree pregnancyfriendly vegan vegetarian,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/quick_flatbreads_43123_16x9.jpg
Banana bread,"This is an easy banana bread recipe that gives perfect results every time. Be sure to use really ripe bananas - the blacker the better.

Each serving provides 334 kcal, 5g protein, 53g carbohydrates (of which 30g sugars), 11g fat (of which 6.5g saturates), 2g fibre and 0.8g salt.",https://www.bbc.co.uk/food/recipes/bananabread_85720,"lazy day cakes, bake sale ideas, baking with children, banana dessert, big night in banana bread challenge, breakfasts on the go, easy cake, easy picnic bakes, family picnic, the best cake, �i can�t believe they�re so cheap� cakes and bakes , easy cakes for mother�s day, easy cakes for mother�s day, using up bananas, afternoon tea, father's day, mother's day, winter, banana bread, banana, nut free, pregnancy friendly, vegetarian, A Taste of My Life",356.0,4.5,Cakes and baking,American,lazydaycakes bakesaleideas bakingwithchildren bananadessert bignightinbananabreadchallenge breakfastsonthego easycake easypicnicbakes familypicnic thebestcake �ican�tbelievethey�resocheap�cakesandbakes easycakesformother�sday easycakesformother�sday usingupbananas afternoontea father'sday mother'sday winter bananabread banana nutfree pregnancyfriendly vegetarian atasteofmylife,cakesandbaking,american,cakesandbaking american lazydaycakes bakesaleideas bakingwithchildren bananadessert bignightinbananabreadchallenge breakfastsonthego easycake easypicnicbakes familypicnic thebestcake �ican�tbelievethey�resocheap�cakesandbakes easycakesformother�sday easycakesformother�sday usingupbananas afternoontea father'sday mother'sday winter bananabread banana nutfree pregnancyfriendly vegetarian atasteofmylife,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/bananabread_85720_16x9.jpg
Nadiya's dal ,"Nadiya's dal makes a luxury out of everyday ingredients. The garlic, chilli and spice tarka is an absolute must.",https://www.bbc.co.uk/food/recipes/nadiyas_dhal_45569,"cheap vegan dinners, dairy and gluten-free, delicious dal, easy veggie suppers , flask lunch ideas, full of beans , healthy vegan, healthy vegetarian, 10 recipes everyone should know, indian vegetarian, nadiya, recipes for eid al-adha, veg-packed comfort food, spice up humble ingredients, vegan and gluten-free, vegan curry, vegan food for winter, veggie meals, vibrant vegan dishes, autumn, baisakhi, eid al-fitr, healthy diet plans, student food, veganuary, dal, split peas, dairy free, egg free, gluten free, healthy, nut free, pregnancy friendly, vegan, vegetarian, The Chronicles of Nadiya",18.0,4.6,Main course,,cheapvegandinners dairyandgluten-free deliciousdal easyveggiesuppers flasklunchideas fullofbeans healthyvegan healthyvegetarian 10recipeseveryoneshouldknow indianvegetarian nadiya recipesforeidal-adha veg-packedcomfortfood spiceuphumbleingredients veganandgluten-free vegancurry veganfoodforwinter veggiemeals vibrantvegandishes autumn baisakhi eidal-fitr healthydietplans studentfood veganuary dal splitpeas dairyfree eggfree glutenfree healthy nutfree pregnancyfriendly vegan vegetarian thechroniclesofnadiya,maincourse,nan,maincourse nan cheapvegandinners dairyandgluten-free deliciousdal easyveggiesuppers flasklunchideas fullofbeans healthyvegan healthyvegetarian 10recipeseveryoneshouldknow indianvegetarian nadiya recipesforeidal-adha veg-packedcomfortfood spiceuphumbleingredients veganandgluten-free vegancurry veganfoodforwinter veggiemeals vibrantvegandishes autumn baisakhi eidal-fitr healthydietplans studentfood veganuary dal splitpeas dairyfree eggfree glutenfree healthy nutfree pregnancyfriendly vegan vegetarian thechroniclesofnadiya,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/nadiyas_dhal_45569_16x9.jpg
