id,recipe_id,ingredient_name,Quantity,Comment,Wrong_Name,Column1,_1,_2,_3,_4,_5
151,11,red onion,�,thinly sliced,FALSO,,,,,,
152,11,courgette,1,halved lengthways and sliced,FALSO,,,,,,
153,11,chickpeas,400g tin,drained and rinsed,FALSO,,,,,,
154,11,harissa,2 tbsp, paste,FALSO,,,,,,
155,11,cherry tomatoes,8�10,halved,FALSO,,,,,,
156,11,lemon,�,juice only,FALSO,,,,,,
157,11,yoghurt,6 tbsp plain,,FALSO,,,,,,
158,11,coriander,finely chopped flatleaf parsley or,,FALSO,,,,,,
159,11,salt,,,VERDADEIRO,,,,,,
160,12,eggs,2 large free-range,,FALSO,,,,,,
161,12,olive oil,1 tbsp light,,FALSO,,,,,,
162,12,cumin,2 tsp, seeds,FALSO,,,,,,
163,12,mustard seeds,1 tsp black,,FALSO,,,,,,
164,12,curry powder,2 tbsp medium,plus extra for sprinkling,FALSO,,,,,,
165,12,garlic,1 tsp, granules,FALSO,,,,,,
166,12,ground ginger,1 tsp,,FALSO,,,,,,
167,12,chopped tomatoes,400g tin,,FALSO,,,,,,
168,12,chickpeas,400g tin,drained and rinsed,FALSO,,,,,,
169,12,lemon juice,1 tbsp,,FALSO,,,,,,
170,12,water,100ml/3�fl oz,boiling,FALSO,,,,,,
171,12,spinach,180g/6oz baby leaf,,FALSO,,,,,,
172,12,salt,,,VERDADEIRO,,,,,,
173,12,coriander,2 tbsp chopped fresh,to garnish,FALSO,,,,,,
174,13,olive oil,1 tbsp extra virgin,plus extra for drizzling,FALSO,,,,,,
175,13,garlic,2 large," cloves, thinly sliced",FALSO,,,,,,
176,13,chickpeas,400g tin,,FALSO,,,,,,
177,13,chopped tomatoes,400g tin,,FALSO,,,,,,
178,13,vegetable stock,400ml/14fl oz,,FALSO,,,,,,
179,13,pasta,50g/1�oz small, shapes,FALSO,,,,,,
180,13,black pepper,freshly ground sea salt and,,FALSO,,,,,,
181,14,plain flour,300g/10�oz,sieved,FALSO,,,,,,
182,14,salt,pinch of,,FALSO,,,,,,
183,14,brown sugar,175g/6oz,,FALSO,,,,,,
184,14,butter,200g/7oz unsalted," at room temperature, cubed, plus a little for greasing",FALSO,,,,,,
185,14,apples,450g/1lb,"peeled, cored and cut into 1cm/�in pieces",FALSO,,,,,,
186,14,brown sugar,50g/2oz,,FALSO,,,,,,
187,14,plain flour,1 tbsp,,FALSO,,,,,,
188,14,cinnamon,1 pinch ground,,FALSO,,,,,,
189,15,aubergines,2 large,sliced into thin slices about a 5mm/�in thick,FALSO,,,,,,
190,15,olive oil,2 tbsp,,FALSO,,,,,,
191,15,ricotta,100g/3�oz,,FALSO,,,,,,
192,15,Parmesan,100g/3�oz,grated (or alternative vegetarian hard cheese),FALSO,,,,,,
193,15,mozzarella,100g/3�oz,sliced,FALSO,,,,,,
194,15,salt,,,VERDADEIRO,,,,,,
195,15,garlic,2," cloves, finely chopped",FALSO,,,,,,
196,15,red onion,1,finely chopped,FALSO,,,,,,
197,15,olive oil,a good splash,,FALSO,,,,,,
198,15,chopped tomatoes,2 x 400g tins,,FALSO,,,,,,
199,15,oregano,2 tsp dried,,FALSO,,,,,,
200,15,red wine,125ml/4fl oz,,FALSO,,,,,,
201,16,olive oil,2 tsp,,FALSO,,,,,,
202,16,onion,1,finely chopped,FALSO,,,,,,
203,16,garlic,2," cloves, finely chopped",FALSO,,,,,,
204,16,pepper,1 red,"cored, seeds removed, finely chopped",FALSO,,,,,,
205,16,peppers,2 fresh green jalape�o,"seeds removed, finely chopped",FALSO,,,,,,
206,16,cumin,1 tsp ground,,FALSO,,,,,,
207,16,smoked paprika,1 tsp sweet,,FALSO,,,,,,
208,16,kidney beans,400g/14oz tin red,drained and rinsed (240g/9oz drained weight),FALSO,,,,,,
209,16,Puy lentils,250g/9oz cooked," (freshly cooked and drained, or a pouch)",FALSO,,,,,,
210,16,olive oil,1-cal, spray,FALSO,,,,,,
211,16,salt,,,VERDADEIRO,,,,,,
212,16,soured cream,100ml/3�fl oz reduced-fat, or dairy-free yoghurt,FALSO,,,,,,
213,16,chipotle,2 tsp, in adobo,FALSO,,,,,,
214,16, burger buns,4 ,split + wholemeal,VERDADEIRO,,,,,,
215,16,tomatoes,2,thickly sliced,FALSO,,,,,,
216,16,avocado,1 ripe,"halved, thinly sliced",FALSO,,,,,,
217,16,peppers,12 pickled jalape�o,,FALSO,,,,,,
218,16,Little Gem lettuce,8�12, leaves,FALSO,,,,,,
219,17,olive oil,2 tbsp,,FALSO,,,,,,
220,17,beef mince,900g/2lb,,FALSO,,,,,,
221,17,onions,2,roughly chopped,FALSO,,,,,,
222,17,celery,4 sticks,diced (optional),FALSO,,,,,,
223,17,garlic,2," cloves, crushed",FALSO,,,,,,
224,17,plain flour,2 level tbsp,,FALSO,,,,,,
225,17,beef stock,150ml/� pint,,FALSO,,,,,,
226,17,redcurrant jelly,1 tbsp, (optional) or 1 tsp caster sugar,FALSO,,,,,,
227,17,tomato pur�e,3 tbsp,,FALSO,,,,,,
228,17,thyme,1 tbsp chopped,,FALSO,,,,,,
229,17,chopped tomatoes,2 x 400g cans,,FALSO,,,,,,
230,17,butter,50g/2oz,,FALSO,,,,,,
231,17,plain flour,50g/2oz,,FALSO,,,,,,
232,17,milk,750ml/1� pints hot,,FALSO,,,,,,
233,17,Dijon mustard,2 tsp,,FALSO,,,,,,
234,17,Parmesan,50g/2oz,finely grated,FALSO,,,,,,
235,17,salt,,,VERDADEIRO,,,,,,
236,17,lasagne,12, sheets,FALSO,,,,,,
237,17,cheddar,75g/3oz mature,grated,FALSO,,,,,,
238,18,yeast,5g fresh, or 2.5g dried fast-action,FALSO,,,,,,
239,18,caster sugar,� tsp,,FALSO,,,,,,
240,18,flour,300g/10�oz �00�,,FALSO,,,,,,
241,18,strong white bread flour,200g/7oz,plus extra for sprinkling,VERDADEIRO,,,,,,
242,18,salt,2 tsp,,FALSO,,,,,,
243,18,olive oil,35ml/1�fl oz,plus extra for greasing,FALSO,,,,,,
244,18,passata,300g/10�oz, (optional),FALSO,,,,,,
245,18,mozzarella,140g/5oz,well drained and ripped into small pieces,FALSO,,,,,,
246,18,gorgonzola,120g/4�oz,cubed,FALSO,,,,,,
247,18,fontina,100g/3�oz,roughly grated,FALSO,,,,,,
248,18,Parmesan,60g/2�oz,very finely grated,FALSO,,,,,,
249,18,black pepper,freshly ground,,FALSO,,,,,,
250,19,aubergines,2 large,sliced into thin slices about a 5mm/�in thick,FALSO,,,,,,
251,19,olive oil,2 tbsp,,FALSO,,,,,,
252,19,ricotta,100g/3�oz,,FALSO,,,,,,
253,19,Parmesan,100g/3�oz,grated (or alternative vegetarian hard cheese),FALSO,,,,,,
254,19,mozzarella,100g/3�oz,sliced,FALSO,,,,,,
255,19,salt,,,VERDADEIRO,,,,,,
256,19,garlic,2," cloves, finely chopped",FALSO,,,,,,
257,19,red onion,1,finely chopped,FALSO,,,,,,
258,19,olive oil,a good splash,,FALSO,,,,,,
259,19,chopped tomatoes,2 x 400g tins,,FALSO,,,,,,
260,19,oregano,2 tsp dried,,FALSO,,,,,,
261,19,red wine,125ml/4fl oz,,FALSO,,,,,,
262,20,bird's-eye chillies,3,"finely chopped, seeds optional",FALSO,,,,,,
263,20,garlic,1," clove, finely chopped",FALSO,,,,,,
264,20,palm sugar,2 heaped tbsp,,FALSO,,,,,,
265,20,fish sauce,2 tbsp Thai,,FALSO,,,,,,
266,20,lime,� ,juice only,VERDADEIRO,,,,,,
267,20,squid,400g/14oz baby,tentacles reserved,FALSO,,,,,,
268,20,garlic,1," clove, finely chopped",FALSO,,,,,,
269,20,chives,20 garlic, with flowers (or a bunch of,FALSO,,,,,,
270,20,spring onions,5,"trimmed, cut in half and quartered lengthways",FALSO,,,,,,
271,20,shallots,5 Thai, (or 1 banana,FALSO,,,,,,
272,20,cherry tomatoes,20 plum,halved,FALSO,,,,,,
273,20,cucumber,�,"cut in half, seeds removed, thickly sliced",FALSO,,,,,,
274,20,mint,large handful, leaves,FALSO,,,,,,
275,20,Thai basil,handful, leaves (alternatively use normal basil),FALSO,,,,,,
276,20,ginger,thumb-sized piece of,peeled and thinly sliced,FALSO,,,,,,
277,20,vegetable oil,2 tbsp,,FALSO,,,,,,
278,20,sesame oil,1 tbsp,,FALSO,,,,,,
279,21,rice,200g/7oz Thai sticky,,FALSO,,,,,,
280,21,coconut milk,1 x 400ml/14fl oz can,,FALSO,,,,,,
281,21,salt,� tsp,,FALSO,,,,,,
282,21,palm sugar,50g/1�oz,roughly chopped if from a block,FALSO,,,,,,
283,21,lime leaves,5 kaffir,,FALSO,,,,,,
284,21,papaya,1 ripe medium,"seeds removed, peeled, cut into 5mm/�in neat slices",FALSO,,,,,,
285,21,limes,2,zest and juice only,FALSO,,,,,,
286,21,mint,4 sprigs,for garnish (optional),FALSO,,,,,,
287,22,egg yolks,2 large free-range,,FALSO,,,,,,
288,22,butter,150g/5�oz cold,cut into cubes,FALSO,,,,,,
289,22,lemon,�,juice only,FALSO,,,,,,
290,22,chives,2 tbsp chopped,,FALSO,,,,,,
291,22,sea salt,,,FALSO,,,,,,
292,22,plain flour,250g/9oz,,FALSO,,,,,,
293,22,baking powder,1 tsp,,FALSO,,,,,,
294,22,salt,1 tsp,,FALSO,,,,,,
295,22,caster sugar,1 tbsp,,FALSO,,,,,,
296,22,eggs,3 free-range,,FALSO,,,,,,
297,22,milk,425ml/15fl oz whole,,FALSO,,,,,,
298,22,butter,115g/4oz unsalted,,FALSO,,,,,,
299,22,ham,6 slices,shredded,FALSO,,,,,,
300,22,Cheddar,100g/3�oz,grated,FALSO,,,,,,
301,22,eggs,4 fresh large free-range,,FALSO,,,,,,
302,22,white wine vinegar,1 tsp,,FALSO,,,,,,
303,22,sea salt,,,FALSO,,,,,,
304,22,butter,75g/2�oz unsalted,,FALSO,,,,,,
305,22,spinach,4 handfuls fresh,,FALSO,,,,,,
306,23,eggs,4 free-range,,FALSO,,,,,,
307,23,coconut oil,175g/6oz extra virgin, or unsalted butter,FALSO,,,,,,
308,23,maple syrup,200ml/7fl oz honey or,,FALSO,,,,,,
309,23,ground almonds,150g/5�oz,,FALSO,,,,,,
310,23,spelt flour,150g/5�oz white,,FALSO,,,,,,
311,23,lemon,� unwaxed,zest only,FALSO,,,,,,
312,23,vanilla extract,2 tsp,,FALSO,,,,,,
313,23,bicarbonate of soda,1 tsp,,FALSO,,,,,,
314,23,baking powder,1 tsp,,FALSO,,,,,,
315,23,sea salt,� tsp fine,,FALSO,,,,,,
316,23,dark chocolate,150g/5�oz," (minimum 70% cocoa solids), broken into large chunks",FALSO,,,,,,
317,23,strawberries,250g/9oz,hulled and halved,FALSO,,,,,,
318,24,pollock,1.2kg/2lb11oz," fillet, skinned and pin boned",FALSO,,,,,,
319,24,sea salt,,,VERDADEIRO,,,,,,
320,24,shallots,2 banana,finely chopped,FALSO,,,,,,
321,24,white peppercorns,10,,FALSO,,,,,,
322,24,thyme,5 sprigs fresh,,FALSO,,,,,,
323,24,white wine,100ml/3�fl oz,,FALSO,,,,,,
324,24,white wine vinegar,100ml/3�fl oz,,FALSO,,,,,,
325,24,double cream,50ml/2fl oz,,FALSO,,,,,,
326,24,butter,200g/7oz cold,diced,FALSO,,,,,,
327,24,radishes,10,cut in half lengthways with the tops still on,FALSO,,,,,,
328,24,mushrooms,200g/7oz girolles,,FALSO,,,,,,
329,24,water,50ml/2fl oz,,VERDADEIRO,,,,,,
330,24,borage,12," flowers, for garnish",FALSO,,,,,,
331,24,lardo,8 thin slices,,VERDADEIRO,,,,,,
332,25,chickpea,250g/9oz, (gram) flour,FALSO,,,,,,
333,25,plain flour,250g/9oz,,FALSO,,,,,,
334,25,salt,1 tsp,,FALSO,,,,,,
335,25,ginger,1 tsp chopped root,,FALSO,,,,,,
336,25,chillies,2 green,finely chopped,FALSO,,,,,,
337,25,coriander,2 tbsp finely chopped,,FALSO,,,,,,
338,25,seeds,1 tsp carom,,FALSO,,,,,,
339,25,chilli powder,� tsp,,FALSO,,,,,,
340,25,turmeric,� tsp ground,,FALSO,,,,,,
341,25,red onion,1,finely chopped,FALSO,,,,,,
342,25,spring onion,1,finely chopped,FALSO,,,,,,
343,25,vegetable oil,2 tbsp,,FALSO,,,,,,
344,25,ghee,3 tbsp, for brushing and basting,FALSO,,,,,,
345,25,venison,1kg/2lb 4oz,minced,FALSO,,,,,,
346,25,lard,250g/9oz,,VERDADEIRO,,,,,,
347,25,prunes,250g/9oz,stoned and chopped,FALSO,,,,,,
348,25,Jerusalem artichoke,250g/9oz, (boiled),FALSO,,,,,,
349,25,ginger,50g/1�oz finely chopped fresh root,,FALSO,,,,,,
350,25,cloves,50g/1�oz garlic,peeled and chopped,FALSO,,,,,,
351,25,fresh coriander,50g/1�oz finely chopped,,FALSO,,,,,,
352,25,chilli powder,1� tbsp red,,FALSO,,,,,,
353,25,garam masala,1 tsp,,FALSO,,,,,,
354,25,salt,20g/�oz,,FALSO,,,,,,
355,25,red onion,250g/9oz finely chopped,,FALSO,,,,,,
356,25,vegetable oil,50ml/2fl oz,,FALSO,,,,,,
357,26,olive oil,4 tbsp,,FALSO,,,,,,
358,26,onions,2 white,thinly sliced,FALSO,,,,,,
359,26,courgettes,4,sliced into 1cm/�in circles,FALSO,,,,,,
360,26,basil,8, leaves,FALSO,,,,,,
361,26,spaghetti,300g/10�oz,,FALSO,,,,,,
362,26,courgette flowers,4 ,torn into strips,VERDADEIRO,,,,,,
363,26,egg yolks,2 free-range,,FALSO,,,,,,
364,26,Parmesan,100g/3�oz," (or vegetarian alternative), grated",FALSO,,,,,,
365,26,salt,,,VERDADEIRO,,,,,,
366,27,self-raising flour,250g/9oz,plus extra for dusting,FALSO,,,,,,
367,27,butter,50g/1�oz unsalted,"cold and cubed, plus extra for greasing",FALSO,,,,,,
368,27,caster sugar,1 tbsp,,FALSO,,,,,,
369,27,vanilla bean paste,1 tsp,,FALSO,,,,,,
370,27,suet,50g/1�oz vegetarian,,FALSO,,,,,,
371,27,milk,150ml/5fl oz cold full-fat, (you may need less),FALSO,,,,,,
372,27,raspberries,100g/3�oz fresh,,FALSO,,,,,,
373,27,orange,1,zest only,FALSO,,,,,,
374,27,caster sugar,1 tsp,,FALSO,,,,,,
375,27,caster sugar,50g/1�oz,for dusting,FALSO,,,,,,
376,27,custard,hot,,FALSO,,,,,,
377,27,mixed berries,fresh,,FALSO,,,,,,
378,28,egg whites,4 free-range,,FALSO,,,,,,
379,28,caster sugar,250g/9oz,,FALSO,,,,,,
380,28,vinegar,1 tsp white,,FALSO,,,,,,
381,28,cornflour,2 tsp,,FALSO,,,,,,
382,28,vanilla extract,1 tsp,,FALSO,,,,,,
383,28,butter,,for greasing,FALSO,,,,,,
384,28,double cream,350ml/12fl oz,,FALSO,,,,,,
385,28,icing sugar,2 tbsp,,FALSO,,,,,,
386,28,cornflour,1 tbsp,,FALSO,,,,,,
387,28,glac� cherries,100g/3�oz,chopped,FALSO,,,,,,
388,28,pistachios,100g/3�oz,roughly chopped,FALSO,,,,,,
389,28,peel,100g/3�oz mixed,,FALSO,,,,,,
390,28,dark chocolate,25g/1oz, shavings,FALSO,,,,,,
391,29,porridge,160g/5�oz, oats,FALSO,,,,,,
392,29,hazelnuts,160g/5�oz roasted whole,,FALSO,,,,,,
393,29,coconut oil,60ml/2fl oz,plus extra for greasing,FALSO,,,,,,
394,29,golden syrup,185g/6�oz,,FALSO,,,,,,
395,29,salt,pinch,,FALSO,,,,,,
396,29,bananas,7 frozen,"about 580g/1lb 4�oz, chopped into pieces",FALSO,,,,,,
397,29,golden syrup,2 tbsp,,FALSO,,,,,,
398,29,cinnamon,� tsp ground,,FALSO,,,,,,
399,29,cocoa powder,1 tbsp,,FALSO,,,,,,
400,29,blueberries,250g/9oz fresh or frozen,,FALSO,,,,,,
401,29,lemon,�,zest and juice,FALSO,,,,,,
402,29,caster sugar,100g/3�oz,,FALSO,,,,,,
403,30,garlic,1," clove, roughly chopped",FALSO,,,,,,
404,30,spring onion,1,"bulb discarded, chopped",FALSO,,,,,,
405,30,coriander,2 sprigs,chopped,FALSO,,,,,,
406,30,parsley,1 sprig,chopped,FALSO,,,,,,
407,30,thyme,1 sprig,leaves only,FALSO,,,,,,
408,30,lime,�,juice only,FALSO,,,,,,
409,30,hot pepper sauce (scotch bonnet-based,,ash hot pepper sauce (scotch bonnet-based) + dash,VERDADEIRO,,,,,,
410,30,chicken legs,4," (bone-in, skin-on)",FALSO,,,,,,
411,30,salt,,,VERDADEIRO,,,,,,
412,30,scotch bonnet peppers,2 ,seeds removed and chopped,VERDADEIRO,,,,,,
413,30,garlic,3," cloves, chopped",FALSO,,,,,,
414,30,coriander,3 sprigs,stem and leaves,FALSO,,,,,,
415,30,vinegar,50ml/2fl oz white,,FALSO,,,,,,
416,30,caster sugar,2 tsp,,FALSO,,,,,,
417,30,vegetable oil,4 tbsp,,FALSO,,,,,,
418,30,chicken,marinated, (from above),FALSO,,,,,,
419,30,onion,1 large,roughly chopped,FALSO,,,,,,
420,30,garlic,2," cloves, crushed",FALSO,,,,,,
421,30,allspice,� tsp ground,,FALSO,,,,,,
422,30,thyme,2 sprigs,,FALSO,,,,,,
423,30,rice,"250g/9oz basmati, or long grain white",,FALSO,,,,,,
424,30,coconut milk,200ml/7fl oz,,FALSO,,,,,,
425,30,chicken stock,400ml/14fl oz,,FALSO,,,,,,
426,30,kidney beans,400g/14oz,drained,FALSO,,,,,,
427,30,scotch bonnet,1,unpierced and unbruised,FALSO,,,,,,
428,30,salt,,,VERDADEIRO,,,,,,
429,30,coriander,2 tbsp micro,,FALSO,,,,,,
430,30,amaranth,2 tbsp red,,FALSO,,,,,,
431,31,condensed milk,1 x 376ml tin,,FALSO,,,,,,
432,31,double cream,300ml/10fl oz,,FALSO,,,,,,
433,31,coconut,3 tbsp, rum,FALSO,,,,,,
434,31,sea salt,large pinch,,FALSO,,,,,,
435,31,vanilla extract,1 tsp,,FALSO,,,,,,
436,31,butter,200g/7oz unsalted,softened,FALSO,,,,,,
