id,title,description,recipeLink,keywords,recipeType,ratingCount,ratingValue,authorType,authorName,prepTime,cookTime,recipeCategory,recipeCuisine,serving,nutrition,suitableForDiet,gotImage
10,Broad bean and runner bean risotto,This is a wonderful summer dish and perfect for using up a glut of runner beans. This recipe cuts out all the usual stirring in a risotto making it really easy too.,https://www.bbc.co.uk/food/recipes/broad_bean_and_runner_93551,"quick, summer dinner, risotto, runner beans, risotto rice, broad beans, egg free, gluten free, nut free, pregnancy friendly, vegetarian, summer, autumn, Great British Food Revival",Recipe,4,5,Person,Gary Rhodes,0.00:30:00,0.00:30:00,Main course,,Serves 4,,"['http://schema.org/GlutenFreeDiet', 'http://schema.org/VegetarianDiet']",FALSO
11,Chickpeas with harissa and yoghurt,"Chickpeas are filling, delicious, easy to cook and cheap, making them the perfect choice for students. See also our <a href=""https://www.bbc.co.uk/food/recipes/easy_hummus_96922"">easy hummus recipe</a> and <a href=""https://www.bbc.co.uk/food/recipes/homemade_falafels_with_30527"">easy falafel recipe</a> for more ways to shuzsh up that tin!",https://www.bbc.co.uk/food/recipes/chickpeas_with_harissa_99809,"quick, 10-minute meals, easy chickpea, affordable 30-minute meals for two , clever combinations, easy and cheap one pots, easy recipes for students, perfect pulses, store cupboard, seriously fast food, winter stews, student food, stew, chickpea, harissa, egg free, gluten free, healthy, nut free, pregnancy friendly, vegetarian",Recipe,16,4875,Person,Justine Pattison,0.00:30:00,0.00:30:00,Light meals & snacks,,Serves 2,,"['http://schema.org/GlutenFreeDiet', 'http://schema.org/LowCalorieDiet', 'http://schema.org/VegetarianDiet']",FALSO
12,"Chickpea, spinach and egg curry","This vegetarian low-calorie chickpea curry makes a wonderful, easy after-work meal, and is ready in less than 20 minutes. It's also vegan if you leave out the egg. 

Each serving provides 441 kcal, 26g protein, 92g carbohydrates (of which 8.5g sugars), 20g fat (of which 3.5g saturates), 15g fibre and 0.6g salt. 

With a GI of 45 this meal is <a href=""https://www.bbc.co.uk/food/diets/high_protein_low_GI_diet"">high protein, low GI</a>.",https://www.bbc.co.uk/food/recipes/chickpea_spinach_and_egg_50755,"quick, easy chickpea, 500-calorie dinners, 6 quick and healthy, affordable 30-minute meals for two , best curry, budget curry, cheap meals for two, cooking with tins, easiest ever vegetarian recipes for 1-2, easy egg suppers, easy low-calorie, easy veggie curry, healthy and filling, healthy curry, healthy recipes for two, healthy and quick budget dishes, healthy vegetarian, high-protein low-gi vegetarian , low-calorie curries, low-calorie fakeaways, low-calorie, make the most of tins, perfect pulses, power up on protein, protein-packed vegetarian dinners, quick and cheap dinners, quick budget dinners, quick curry, quick vegetarian, veg-packed comfort food, speedy low-calorie suppers, super speedy recipes for 2 , super speedy vegetarian recipes for 1-2, take a tin of tomatoes, vegan food for winter, veggie meals, world in a store cupboard, diwali, student food, vegetable curry, egg, chickpea, spinach, dairy free, gluten free, healthy, nut free, pregnancy friendly, vegetarian",Recipe,51,4.31373E+15,Person,Sunil Vijayakar,0.00:30:00,0.00:30:00,Main course,Indian,Serves 2,"{'calories': '441kcal', 'carbohydrateContent': '92g', 'fatContent': '20g', 'fiberContent': '15g', 'proteinContent': '26g', 'saturatedFatContent': '3.5g', 'sugarContent': '8.5g'}","['http://schema.org/LowLactoseDiet', 'http://schema.org/GlutenFreeDiet', 'http://schema.org/LowCalorieDiet', 'http://schema.org/VegetarianDiet']",FALSO
13,"Tomato, chickpea and pasta soup","This cheap, quick and easy soup is based on an Italian classic: Pasta e ceci. If you�ve got any fresh herbs to hand, sprinkle a small handful over each bowl of soup before serving. Flatleaf parsley, basil and sage would all work well. 

Each serving provides 391 kcal, 14g protein, 44g carbohydrate (of which 8g sugars), 15g fat (of which 2g saturates), 10g fibre and 0.1g salt.
",https://www.bbc.co.uk/food/recipes/tomato_chickpea_and_78792,"quick, easy chickpea, 15 minute meals, 20 minute meals, 4-ingredient soups, 5 ingredient meals, 6 ingredient one-pot dinners, affordable 30-minute meals for two , easy soup, everyday vegan, filling soups, flask lunch ideas, healthy mediterranean , food to eat when you are sick, healthy lunch ideas, healthy and filling soup, make the most of tins, perfect pulses, store cupboard, vegan soups, summery soup, winter soups, easy family dinners, lunch, student food, winter, vegetable soup, chickpea, pasta, dairy free, egg free, healthy, nut free, pregnancy friendly",Recipe,17,4.58824E+15,Person,Rachel Phipps,0.00:30:00,0.00:30:00,Light meals & snacks,Italian,Serves 2,"{'calories': '391kcal', 'carbohydrateContent': '44g', 'fatContent': '15g', 'fiberContent': '10g', 'proteinContent': '14g', 'saturatedFatContent': '2g', 'sugarContent': '8g'}","['http://schema.org/LowLactoseDiet', 'http://schema.org/LowCalorieDiet']",FALSO
14,Apple crumble,"This is the easiest apple crumble recipe and an all-time favourite quick and easy dessert. 

Each serving provides 618 kcal, 6g protein, 83g carbohydrates (of which 43g sugars), 28.5g fat (of which 18g saturates), 3.5g fibre and 0.21g salt.",https://www.bbc.co.uk/food/recipes/applecrumble_2971,"make the most of apples, traditional roast beef dinner, easy dessert, great british puddings, old-fashioned puddings, autumn, bonfire night, roast dinner, st george's day, winter, apple crumble, apple, egg free, nut free, pregnancy friendly, vegetarian, autumn, winter",Recipe,92,4.41304E+15,Organization,BBC Food,0.00:30:00,0.01:00:00,Desserts,British,Serves 6,"{'calories': '618kcal', 'carbohydrateContent': '83g', 'fatContent': '28.5g', 'fiberContent': '3.5g', 'proteinContent': '6g', 'saturatedFatContent': '18g', 'sugarContent': '43g'}",['http://schema.org/VegetarianDiet'],FALSO
15,Aubergine parmigiana,"Donal's aubergine parmigiana is so easy to make and tastes wonderful. It's simpler than a lasagne and lighter, too. The tomato sauce can be doubled and frozen for another easy dinner. ",https://www.bbc.co.uk/food/recipes/aubergine_parmigiana_57566,"comfort food, make-ahead dinners, vegetarian italian, vegetarian italian favourites, vegetarian mothering sunday mains, veggie comfort food, veggie crowd pleasers, veggie family favourites, veggie favourites, veggie meals, veggie traybakes, new ways with aubergines, winter packed lunch ideas, winter vegetarian meals, winter vegetarian meals, autumn, mother's day, student food, winter, oven-baked dishes, aubergine, egg free, gluten free, nut free, pregnancy friendly, vegetarian, summer, autumn, Saturday Kitchen",Recipe,21,4.61905E+15,Person,Donal Skehan,0.00:30:00,0.01:00:00,Main course,Italian,Serves 4,,"['http://schema.org/GlutenFreeDiet', 'http://schema.org/VegetarianDiet']",FALSO
16,Spicy Mexican-style bean burger,"These spicy veggie bean burgers are full of  flavour and texture and a great meat-free option for barbecues. If you like less heat, leave out the pickled jalape�os. 

Each serving provides 445 kcal, 20g protein, 51g carbohydrate, 15g fat,16g fibre.",https://www.bbc.co.uk/food/recipes/spicy_mexican-style_bean_91588,"quick, festival, meat-free mexican, vegan barbecue, barbecue, father's day, healthy summer, party food, summer dinner, veganuary, veggie burger, kidney beans, Puy lentils, egg free, healthy, nut free, pregnancy friendly, vegan, vegetarian, summer, autumn, Lose Weight and Get Fit with Tom Kerridge",Recipe,23,3.30435E+16,Person,Tom Kerridge,0.00:30:00,0.00:30:00,Main course,,Serves 4,"{'calories': '445kcal', 'carbohydrateContent': '51g', 'fatContent': '15g', 'fiberContent': '16g', 'proteinContent': '20g'}","['http://schema.org/LowCalorieDiet', 'http://schema.org/VeganDiet', 'http://schema.org/VegetarianDiet']",FALSO
17,Lasagne al forno,"This is Mary's classic lasagne recipe which has been perfected over the years. For the best results leave the lasagne to stand for six hours before cooking. 

Each serving provides 861 kcal, 50g protein, 56g carbohydrates (of which 17g sugars), 47g fat (of which 23g saturates), 5.5g fibre and 1.4g salt. ",https://www.bbc.co.uk/food/recipes/mary_berrys_lasagne_al_16923,"batch cook, comfort food, food for giving, italian comfort food, italian family meals, make-ahead dinners, mary berry favourites, mary berry mains, proper pub grub, autumn, dinner party, winter, lasagne, beef mince, lasagne, nut free, pregnancy friendly, The Mary Berry Story",Recipe,112,45,Person,Mary Berry,0.00:30:00,0.02:00:00,Main course,Italian,Serves 8-10,"{'calories': '861kcal', 'carbohydrateContent': '56g', 'fatContent': '47g', 'fiberContent': '5.5g', 'proteinContent': '50g', 'saturatedFatContent': '23g', 'sugarContent': '17g'}",[],FALSO
18,Four cheese pizza,"Pizza ai quattro formaggi � pizza with four cheeses � can be rossa (red) with a base of tomato or bianca (white) with just the cheese. 

For this recipe you will need a pizza stone (alternatively preheat a heavy baking tray).",https://www.bbc.co.uk/food/recipes/four_cheese_pizzas_11912,"italian comfort food, pizza, mozzarella, egg free, nut free, pregnancy friendly",Recipe,1,5,Person,Rachel Roddy,0.02:00:00,0.00:30:00,Main course,Italian,Makes 2 large pizzas,,[],FALSO
19,Aubergine parmigiana,"Donal's aubergine parmigiana is so easy to make and tastes wonderful. It's simpler than a lasagne and lighter, too. The tomato sauce can be doubled and frozen for another easy dinner. ",https://www.bbc.co.uk/food/recipes/aubergine_parmigiana_57566,"comfort food, make-ahead dinners, vegetarian italian, vegetarian italian favourites, vegetarian mothering sunday mains, veggie comfort food, veggie crowd pleasers, veggie family favourites, veggie favourites, veggie meals, veggie traybakes, new ways with aubergines, winter packed lunch ideas, winter vegetarian meals, winter vegetarian meals, autumn, mother's day, student food, winter, oven-baked dishes, aubergine, egg free, gluten free, nut free, pregnancy friendly, vegetarian, summer, autumn, Saturday Kitchen",Recipe,21,4.61905E+15,Person,Donal Skehan,0.00:30:00,0.01:00:00,Main course,Italian,Serves 4,,"['http://schema.org/GlutenFreeDiet', 'http://schema.org/VegetarianDiet']",FALSO
20,Hot and spicy Thai squid salad (Yam pra-muek),"This delicious spicy seafood salad combines the four elements of Thai cooking: salt, sweet, bitter and sour.

Each serving provides 217kcal, 17g protein, 12g carbohydrate (of which 12g sugars), 11g fat (of which 1.5g saturates), 2.2g fibre and 2.3g salt.",https://www.bbc.co.uk/food/recipes/hot_and_spicy_thai_squid_01824,"quick, some like it hot, thai new year, salad, squid, dairy free, egg free, healthy, nut free, The Hairy Bikers' Asian Adventure",Recipe,2,45,Person,The Hairy Bikers,0.00:30:00,0.00:30:00,Light meals & snacks,Thai and South-East Asian,Serves 4,"{'calories': '217kcal', 'carbohydrateContent': '12g', 'fatContent': '11g', 'fiberContent': '2.2g', 'proteinContent': '17g', 'saturatedFatContent': '1.5g', 'sugarContent': '12g'}","['http://schema.org/LowLactoseDiet', 'http://schema.org/LowCalorieDiet']",FALSO
21,Coconut and sticky rice pudding with lime and papaya salad,"Here�s a great dessert to end a Thai feast. You�ll need a visit to an Asian supermarket to source the sticky rice, lime leaves and papaya - and plenty of time for soaking the rice. Well worth it.",https://www.bbc.co.uk/food/recipes/coconut_and_sticky_rice_52999,"rice pudding, papaya, dairy free, egg free, gluten free, pregnancy friendly, vegan, vegetarian, Series 1",Recipe,,,Person,The Hairy Bikers,0.02:00:00,0.00:30:00,Desserts,Thai and South-East Asian,Serves 4,,"['http://schema.org/LowLactoseDiet', 'http://schema.org/GlutenFreeDiet', 'http://schema.org/VeganDiet', 'http://schema.org/VegetarianDiet']",FALSO
22,Cheese and ham waffles with hollandaise sauce and poached eggs,The breakfast of kings. Time to get the waffle maker out of the cupboard? ,https://www.bbc.co.uk/food/recipes/cheese_and_ham_waffles_28778,"quick, waffles, nut free, Saturday Kitchen Best Bites",Recipe,,,Person,Donal Skehan,0.00:30:00,0.00:30:00,Brunch,American,Serves 4,,[],FALSO
23,Italian strawberry and chocolate chunk cake,"A delicious taste of Italy using British strawberries makes for a perfect dessert or afternoon tea. 

You�ll need a 20�22cm cake tin.",https://www.bbc.co.uk/food/recipes/italian_strawberry_and_51490,"the best chocolate cakes, brilliant baking twists, italian-inspired desserts, easy cakes for mother�s day, world baking, afternoon tea, mother's day, valentine's day, ground almonds, dark chocolate, strawberry, pregnancy friendly, vegetarian, Saturday Kitchen Best Bites",Recipe,4,5,Person,Jordan Bourke,0.00:30:00,0.02:00:00,Cakes and baking,Italian,Serves 8,,['http://schema.org/VegetarianDiet'],FALSO
24,"Oven baked pollock with radishes, borage flowers and lardo","Lardo is pork fat cured with herbs and spices; it can be found in good Italian delicatessens. Here, it melts beautifully on top of the fish, adding an extra layer of flavour.",https://www.bbc.co.uk/food/recipes/oven_baked_pollock_with_72838,"pollock, egg free, gluten free, nut free, pregnancy friendly, Saturday Kitchen Best Bites",Recipe,,,Person,Tom Kerridge,0.02:00:00,0.01:00:00,Main course,British,Serves 4,,['http://schema.org/GlutenFreeDiet'],FALSO
25,Venison and prune koftas with missi rotis,Vivek Singh rings the changes with his spiced venison koftas and chickpea flatbreads.,https://www.bbc.co.uk/food/recipes/venison_and_prune_kofta_00783,"kofta, chickpea, venison, Saturday Kitchen Best Bites",Recipe,3,5,Person,Vivek Singh,0.01:00:00,0.00:30:00,Main course,Indian,Serves 4-6,,[],FALSO
26,Spaghetti with courgettes,Got a glut of courgettes? Turn them into a simple spaghetti supper. ,https://www.bbc.co.uk/food/recipes/spaghetti_with_31196,"quick, pasta, courgette, nut free, Saturday Kitchen Best Bites",Recipe,2,5,Person,Theo Randall,0.00:30:00,0.00:30:00,Main course,Italian,"Serves 4 as a starter, 2 as a main course",,[],FALSO
27,Jam roly poly ,Nadiya�s version of a classic jam roly poly uses fresh fruit instead of jam. It�s delicious served with hot custard. ,https://www.bbc.co.uk/food/recipes/jam_roly_poly_62972,"great british puddings, instagram, old-fashioned puddings, retro baking, autumn, dinner party, roast dinner, winter, steamed pudding, raspberry, nut free, pregnancy friendly, vegetarian, summer, autumn, Nadiya Bakes",Recipe,3,2.33333E+16,Person,Nadiya Hussain,0.00:30:00,0.02:00:00,Desserts,British,Serves 6,,['http://schema.org/VegetarianDiet'],FALSO
28,Tutti frutti pavlova ,"Glac� cherries, pistachios and mixed peel give this pavlova a decadently rich flavour that�s a bit different to the usual fresh fruit.  ",https://www.bbc.co.uk/food/recipes/tutti_frutti_pavlova_81348,"alternative christmas desserts, decadent dessert, instagram, dinner party, summer dinner, pavlova, double cream, pregnancy friendly, vegetarian, Nadiya Bakes",Recipe,4,3,Person,Nadiya Hussain,0.00:30:00,0.02:00:00,Desserts,,Serves 8�10,,['http://schema.org/VegetarianDiet'],FALSO
29,Banana ice cream �cheesecake� ,"Nadiya's brilliant no-bake �cheesecake� is actually vegan. It uses frozen banana ice cream instead of cream cheese for the filling, with an oaty hazelnut base and tart blueberry topping. ",https://www.bbc.co.uk/food/recipes/banana_ice_cream_02729,"quick, banana dessert, instagram, make-ahead summer desserts, using up bananas, vegan christmas dinner, vegan desserts, dinner party, healthy summer, mother's day, recipes for kids, cheesecake, banana, dairy free, egg free, pregnancy friendly, vegan, vegetarian, Nadiya Bakes",Recipe,8,2875,Person,Nadiya Hussain,0.00:30:00,0.00:10:00,Desserts,,Serves 8�12,,"['http://schema.org/LowLactoseDiet', 'http://schema.org/VeganDiet', 'http://schema.org/VegetarianDiet']",FALSO
30,"Green chicken, coconut rice and peas","Real Jamaican comfort food this one � the green chicken, rice and peas come with a quick and easy pepper sauce.
",https://www.bbc.co.uk/food/recipes/green_chicken_coconut_97736,"chicken leg, dairy free, egg free, pregnancy friendly, Saturday Kitchen",Recipe,2,5,Person,Shivi Ramoutar,0.12:00:00,0.01:00:00,Main course,Caribbean,Serves 4,,['http://schema.org/LowLactoseDiet'],FALSO
31,Baked berry slump with coconut ice cream,"Spiced fruit, topped with a warm vanilla sponge and served with an easy peasy coconut ice cream. What could be better? ",https://www.bbc.co.uk/food/recipes/baked_berry_slump_with_61877,"berry, nut free, vegetarian, Saturday Kitchen",Recipe,1,4,Person,Shivi Ramoutar,0.00:30:00,0.01:00:00,Desserts,,Serves 4�8 depending on how many you make (see tip),,['http://schema.org/VegetarianDiet'],FALSO
32,"Turbot with courgettes, watercress and sweet vinegar dressing","Turbot makes for a special lunch or dinner. A warm dressing is all you need to take it to another level. 
",https://www.bbc.co.uk/food/recipes/turbot_with_courgettes_92299,"quick, turbot, courgette, egg free, gluten free, pregnancy friendly, Saturday Kitchen",Recipe,,,Person,Matt Tebbutt,0.00:30:00,0.00:30:00,Main course,French,Serves 2,,['http://schema.org/GlutenFreeDiet'],FALSO
33,Langoustines with chargrilled pork belly and tomato dressing,"This takes surf and turf to another level entirely � pork belly slow-cooked in duck fat with langoustines cooked in lardo. Phew!
",https://www.bbc.co.uk/food/recipes/langoustines_with_84002,"langoustine, dairy free, egg free, gluten free, nut free, pregnancy friendly, Saturday Kitchen",Recipe,,,Person,Matt Tebbutt,0.12:00:00,0.02:00:00,Main course,,Serves 2,,"['http://schema.org/LowLactoseDiet', 'http://schema.org/GlutenFreeDiet']",FALSO
34,Slow-cooker oxtail rag� with gnocchi,"Oxtail is the perfect meat for cooking in the slow cooker. It�s full of flavour and becomes melt-in-the-mouth tender. Use the microwave to cook the potatoes for an easy gnocchi, or use shop-bought. This recipe needs a large slow cooker.  ",https://www.bbc.co.uk/food/recipes/slow_cooker_oxtail_ragu_07286,"instagram, slow cooker family favourites, slow-cooker feasts, rag�, oxtail, potato, nut free, pregnancy friendly, Eat Well for Less?",Recipe,4,475,Organization,BBC Food,0.00:30:00,0.02:00:00,Main course,Italian,Serves 6,,[],FALSO
35,Turkey burgers with coleslaw,"Adding grated courgette produces a lovely juiciness to these turkey burgers, topped with a melting slice of mozzarella and served with a fresh coleslaw.

Each serving provides 605 kcal, 70g protein, 54.5g carbohydrates (of which 12g sugars), 12g fat (of which 4g saturates), 11g fibre and 4.4g salt.",https://www.bbc.co.uk/food/recipes/turkey_and_courgette_65781,"quick, alternative burgers, healthy british classics, barbecue, healthy summer, burger, turkey mince, healthy, nut free, pregnancy friendly, Tom Kerridge's Lose Weight For Good",Recipe,47,2.78723E+16,Person,Tom Kerridge,0.00:30:00,0.00:30:00,Main course,,Serves 4,"{'calories': '605kcal', 'carbohydrateContent': '54.5g', 'fatContent': '12g', 'fiberContent': '11g', 'proteinContent': '70g', 'saturatedFatContent': '4g', 'sugarContent': '12g'}",['http://schema.org/LowCalorieDiet'],FALSO
36,Tom's chicken tikka masala,"Tom Kerridge's healthier version of chicken tikka masala is a real crowd-pleaser. Leave for at least 4 hours for the chicken to marinate.

Each serving provides 640 kcal, 52g protein, 88g carbohydrates (of which 20g sugars), 6.5g fat (of which 1g saturates), 10g fibre and 0.9g salt.",https://www.bbc.co.uk/food/recipes/chicken_tikka_masala_11482,"tom kerridge's top 10, chicken curry, chicken, egg free, healthy, nut free, pregnancy friendly, Tom Kerridge's Lose Weight For Good",Recipe,14,4.21429E+15,Person,Tom Kerridge,0.12:00:00,0.02:00:00,Main course,,Serves 4,"{'calories': '640kcal', 'carbohydrateContent': '88g', 'fatContent': '6.5g', 'fiberContent': '10g', 'proteinContent': '52g', 'saturatedFatContent': '1g', 'sugarContent': '20g'}",['http://schema.org/LowCalorieDiet'],FALSO
